UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ge,@geraldd_tv,2022-09-27T23:50:05.000Z,"ge
@geraldd_tv
·
Sep 27, 2022",acho que vou gravar a dieta de hoje ate sabado +ou- com treino e postar o 1o tiktok finalmente,🌹,3,,17,[],https://twitter.com/geraldd_tv/status/1574909271837483009
ComeCarne,@ConsejoMexCarne,2022-09-27T21:39:02.000Z,"ComeCarne
@ConsejoMexCarne
·
Sep 27, 2022","FORO AMEXITEC 2022
""RETOS DE LA INDUSTRIA CÁRNICA EN SUSTENTABILIDAD, PRODUCCIÓN E INOCUIDAD""
26 Y 27 de OCTUBRE.
El Foro AMEXITEC 2022 reúne a los principales especialistas de la industria de la proteína cárnica.
Regístrate aquí >> https://comecarne.org/foro-amexitec/",,,4,5,['https://pbs.twimg.com/media/FdsVa_yWIAEIrU8?format=jpg&name=small'],https://twitter.com/ConsejoMexCarne/status/1574876293727920129
Lakers Win,@Lakers__Win,2022-09-27T23:56:35.000Z,"Lakers Win
@Lakers__Win
·
Sep 27, 2022","Hoje mais cedo teve o primeiro treino dos Lakers dessa temporada e após ele, Russ, JTA, Nunn e Ham falaram com a imprensa, quem quiser saber como foi é só seguir o fio:",,3,2,25,['https://pbs.twimg.com/tweet_video_thumb/Fds1HtxWIAE2hRY.jpg'],https://twitter.com/Lakers__Win/status/1574910908857450500
MedlinePlus Español,@MedlinePlusEsp,2022-09-27T23:35:10.000Z,"MedlinePlus Español
@MedlinePlusEsp
·
Sep 27, 2022","Una interacción de medicamentos es un cambio en la forma en que un medicamento actúa cuando se toma junto con otras medicinas, alimentos o suplementos; o cuando se toma mientras se tienen ciertas afecciones. ¿Cómo tomar medicamentos en forma segura?  http://ow.ly/kCuA50KUEXB",👉,,3,9,['https://pbs.twimg.com/media/FdswOWyXoAAcRrz?format=jpg&name=small'],https://twitter.com/MedlinePlusEsp/status/1574905519906725896
MC Slim JB,@mcslimjb,2022-09-27T21:46:43.000Z,"MC Slim JB
@mcslimjb
·
Sep 27, 2022","Monkfish with trout roe and whey broth at Twelve, Waterfront, Portland, ME, USA. 
@twelvemaine
 @ Twelve",,,,,[],https://twitter.com/mcslimjb/status/1574878225620434945
Portal Bruno Rezende (Mídias) • FanAccount,@midiaspbr1,2022-09-27T22:51:21.000Z,"Portal Bruno Rezende (Mídias) • FanAccount
@midiaspbr1
·
Sep 27, 2022"," • O treino em conjunto/amistoso que acontece amanhã (28.09) às 10h no PalaPanini é contra o time do Milano. O amistoso vai ser com a portas abertas ao público.

 • Ainda não foi informado sobre a transmissão. Mas geralmente o Milano faz a transmissão no YouTube.",🚨 ⚠,,,8,['https://pbs.twimg.com/media/FdsmMcEXoAU4xF7?format=jpg&name=small'],https://twitter.com/midiaspbr1/status/1574894492439699456
root beer,@harms_whey,2022-09-28T23:03:29.000Z,"root beer
@harms_whey
·
Sep 28, 2022",he's pondering the orb,,,,2,['https://pbs.twimg.com/media/Fdxyiw-VsAA0az5?format=jpg&name=small'],https://twitter.com/harms_whey/status/1575259932613410816
Fran,@graveyardgnome,2022-09-28T23:50:23.000Z,"Fran
@graveyardgnome
·
Sep 28, 2022",Whey esquisito.,🦉 🍂 🕯 🪦,3,1,3,['https://pbs.twimg.com/media/Fdx9SVwWYAAviOU?format=jpg&name=small'],https://twitter.com/graveyardgnome/status/1575271736651702274
Danilo Félix,@dansfelix,2022-09-28T23:55:20.000Z,"Danilo Félix
@dansfelix
·
Sep 28, 2022","Independente da fragilidade do Juventude hoje teve chocolate e desempenho. Boas partidas de Martinelli, Arias, S. Xavier, Ganso e Andre. Com esses 5 muito bem o jogo mais pareceu um treino. Mais 3 pts pra conta! ",🎸 🤟 👏 👏 👏,3,2,16,"['https://pbs.twimg.com/profile_images/1609912077786746885/2F0rzkrh_mini.jpg', 'https://pbs.twimg.com/media/Fdx-RR7WYAABS2t?format=jpg&name=small']",https://twitter.com/dansfelix/status/1575272979063250950
Hatboro Horsham Aquatic Association,@hhaa_swim_dive,2022-09-28T22:19:06.000Z,"Hatboro Horsham Aquatic Association
@hhaa_swim_dive
·
Sep 28, 2022","Jumping right back in after a long weekend..high school group working hard in the pool before heading to CrossFit. #HHAA40
@midatlanticswim
 @USASwimming
 @cfgeneration
 @HH_Athletics_
 @Horsham_PA
 @HH_Schools",,,,3,"['https://pbs.twimg.com/media/FdxoZRWXEAkRVBM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FdxoZRXXEAISlpc?format=jpg&name=360x360']",https://twitter.com/hhaa_swim_dive/status/1575248763794456576
Walk Like an Egyptian Bot,@egyptian_bot,2022-09-28T23:10:50.000Z,"Walk Like an Egyptian Bot
@egyptian_bot
·
Sep 28, 2022","Foreign types with the hookah pipes say ay oh whey oh, ay oh whey oh",,,,,[],https://twitter.com/egyptian_bot/status/1575261783778017284
Julio,@_julioczar,2022-09-28T23:15:05.000Z,"Julio
@_julioczar
·
Sep 28, 2022",Jogo treino? Fluminense football club ,,,1,,[],https://twitter.com/_julioczar/status/1575262852243406848
AntonioBittencourtContador,@AntonioSoure,2022-09-28T23:58:28.000Z,"AntonioBittencourtContador
@AntonioSoure
·
Sep 28, 2022","O Flamengo perdeu 6 pontos para o Fortaleza, ridículo com 10 dias de treino. Parabéns Dorival!!!",,8,23,112,[],https://twitter.com/AntonioSoure/status/1575273768154529795
SouthernBettyWoods.,@50shadesofEE,2022-09-28T23:52:31.000Z,"SouthernBettyWoods.
@50shadesofEE
·
Sep 28, 2022","I did 5 miles on a bike today, then went to CrossFit",😌 😌,,,1,[],https://twitter.com/50shadesofEE/status/1575272274294448128
Alba Graciani,@GracianiAlba,2022-09-28T22:41:36.000Z,"Alba Graciani
@GracianiAlba
·
Sep 28, 2022",Vini estava treinando na academia com o Iran e o Pelé. Shayan chegou e Vini terminou o treino.Agora está tirando onda que saiu porque não quer que os outros copiem o treino dele e que o Shayan tirou a camisa para mostrar os músculos.Sério que tem gente que torce por ele ?,🔑 🐎 🌵 🍞 🐮 🦚,2,4,22,[],https://twitter.com/GracianiAlba/status/1575254425693741056
Stephanie Miller,@stewsonmiller,2022-09-28T23:06:14.000Z,"Stephanie Miller
@stewsonmiller
·
Sep 28, 2022",Y’all. Some days you just don’t like the WOD. I just showed up. I don’t have to enjoy them all. Bring on tomorrow #crossfit,,,,,"['https://pbs.twimg.com/media/FdxzL2aWQAExs8N?format=jpg&name=small', 'https://pbs.twimg.com/media/FdxzL2ZWQAEnL55?format=jpg&name=360x360']",https://twitter.com/stewsonmiller/status/1575260624191373314
Cão Agrobarbie,@raulalfalrisha,2022-09-28T23:20:44.000Z,"Cão Agrobarbie
@raulalfalrisha
·
Sep 28, 2022",O treino hj me matou viu,💙 💛 🥵,7,3,249,['https://pbs.twimg.com/media/Fdx2gFMWQAEVv9m?format=jpg&name=small'],https://twitter.com/raulalfalrisha/status/1575264275316219906
TODAYS HEADLINES,@jayystanlee,2022-09-28T22:48:10.000Z,"TODAYS HEADLINES
@jayystanlee
·
Sep 28, 2022",like whey need any more wheys to MAKE AL CO HOL,,,,,[],https://twitter.com/jayystanlee/status/1575256076915613696
"i love you, but you are not serious people",@jeferson,2022-09-28T23:20:11.000Z,"i love you, but you are not serious people
@jeferson
·
Sep 28, 2022","ontem o assunto de um grupinho na academia era a eleição. não participei mas pude ouvir cada absurdo, desde que só enquetes online são confiáveis até lulinha dono da friboi. entrei mudo, saí calado. hoje decidi ir uniformizado. curiosamente, o silêncio imperou no treino. ",,8,9,613,['https://pbs.twimg.com/media/Fdx2YJxX0AEQj18?format=jpg&name=small'],https://twitter.com/jeferson/status/1575264135884980227
Reis Lima Quarteu,@reisquarteu,2022-09-28T22:15:03.000Z,"Reis Lima Quarteu
@reisquarteu
·
Sep 28, 2022",How To #ReverseLunge: https://youtu.be/xrPteyQLGAo #Fitness #CrossFit,,,,,['https://pbs.twimg.com/media/FdxneUtXEAUwtj3?format=jpg&name=small'],https://twitter.com/reisquarteu/status/1575247743311876106
tiago,@tiagovedoin,2022-09-28T22:39:37.000Z,"tiago
@tiagovedoin
·
Sep 28, 2022",cinco curtidas nesse tuíte e eu vou pro crossfit hoje (válido por 10min),,6,1,22,[],https://twitter.com/tiagovedoin/status/1575253924990357530
greciam,@49991m,2022-09-28T23:50:45.000Z,"greciam
@49991m
·
Sep 28, 2022",Crossfit ,💜,1,,1,[],https://twitter.com/49991m/status/1575271829471625217
nath,@nath_araujogf,2022-09-28T23:35:48.000Z,"nath
@nath_araujogf
·
Sep 28, 2022","Terminei o treino e fui fazer aeróbico, todos os professores da academia vieram me perguntar o que tava acontecendo  

A mãe ta 100% focada  Agora o shape vem nem que seja por pena…",🗣 🗣 🗣,2,,19,[],https://twitter.com/nath_araujogf/status/1575268063687151618
Laís Silva,@laaiiss__,2022-09-28T22:18:40.000Z,"Laís Silva
@laaiiss__
·
Sep 28, 2022",Uma semana de treino pra isso Flamengo?! ,🙄,4,3,40,[],https://twitter.com/laaiiss__/status/1575248653761056795
Ade ☽,@adlarodriguez,2022-09-28T23:12:27.000Z,"Ade ☽
@adlarodriguez
·
Sep 28, 2022",La verdad es que voy a regresar a crossfit ,🙃,,1,6,[],https://twitter.com/adlarodriguez/status/1575262188876533760
Trick Fla da Depressão,@trickfladadepre,2022-09-28T23:59:11.000Z,"Trick Fla da Depressão
@trickfladadepre
·
Sep 28, 2022","Estamos que nem 2021. Quanto menos tempo de treino, melhor. Treina so em jogo e academia, melhor que ficar 10 dias treinado e voltar PIOR",,,1,30,[],https://twitter.com/trickfladadepre/status/1575273951542009857
PersonalFitness3,@personalfitnes3,2022-09-28T23:03:20.000Z,"PersonalFitness3
@personalfitnes3
·
Sep 28, 2022","Classic Whey and 100% Whey Protein Isolate - Taste Test Only - #NUTRABIO https://youtu.be/AGZdi3BuqyU via #YouTube
LIKE  SHARE  COMMENT",▪ ▪ ❤ ❤,,,,['https://pbs.twimg.com/card_img/1669249465805332481/b_aEq-CX?format=jpg&name=240x240'],https://twitter.com/personalfitnes3/status/1575259893971435525
Mary¹¹,@SuperMaryGoKart,2022-09-28T23:56:01.000Z,"Mary¹¹
@SuperMaryGoKart
·
Sep 28, 2022","Hice la conversión y no mms, la proteína de Checo está bien barata a comparación de las mmdas que dice la hater.
1 £= 21.86 pesos (hoy)
Según ella, por 15 £ consigue 100g de proteína.
La de Checo trae 600 aprox. (un poco menos)
15 £= $327.9 - 100gr
$327 x 6= 1,967.4 pesos",,2,,20,"['https://pbs.twimg.com/profile_images/1639412243564576768/MlWF66oQ_mini.jpg', 'https://pbs.twimg.com/media/Fdx5EnxXEAMg9HM?format=jpg&name=small']",https://twitter.com/SuperMaryGoKart/status/1575273151566516225
RxRealm,@RxRealm,2022-09-28T23:25:23.000Z,"RxRealm
@RxRealm
·
Sep 28, 2022","Brent Fikowski and Patrick Vellner: 2022 CrossFit Games Athlete Studies - {BLOG_SOURCE}
https://rxrealm.com/blog/brent-fikowski-and-patrick-vellner-2022-crossfit-games-athlete-studies/… {POST_TAGS}",,,,,['https://pbs.twimg.com/media/Fdx3kk2WIAErShb?format=jpg&name=small'],https://twitter.com/RxRealm/status/1575265442049974272
caioziN ᶜʳᶠ,@B16caio,2022-09-28T23:17:13.000Z,"caioziN ᶜʳᶠ
@B16caio
·
Sep 28, 2022","por isso eu odeio quando esse time tem mais de uma semana livre para treino, sempre volta um lixo",,,27,60,[],https://twitter.com/B16caio/status/1575263390439809025
PiSTOLiTiME,@TKametas,2022-09-28T22:23:02.000Z,"PiSTOLiTiME
@TKametas
·
Sep 28, 2022","The only other cleaning I do besides cleaning up your kills on halo and apex
.
.
.
http://Twitch.tv/PiSTOLiTiME
.
.
.
#apexlegends #apexlegendsclips #halo #haloinfinite #xbox #gamer #crossfit",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1575249616936833029/pu/img/lFeFgZ-8V1BnwMat.jpg'],https://twitter.com/TKametas/status/1575249752425435165
CENTRAL BAHIA CITY | FAN ACCOUNT,@CentralBacity,2022-09-28T22:40:29.000Z,"CENTRAL BAHIA CITY | FAN ACCOUNT
@CentralBacity
·
Sep 28, 2022"," Após 6h de viagem e passagem por SP, a delegação tricolor chega em Chapecó. Amanhã tem treino na cidade. #BBMP

 
@ECBahia",🛬 📸,,,17,"['https://pbs.twimg.com/media/FdxtSc6XEAANV5y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FdxtSnqXEAIWLtI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FdxtS2WXEAI9ZY-?format=jpg&name=small', 'https://pbs.twimg.com/media/FdxtTBHXECAOKq4?format=jpg&name=360x360']",https://twitter.com/CentralBacity/status/1575254145552027664
cortinaskk,@cortinaskk,2022-09-28T22:36:50.000Z,"cortinaskk
@cortinaskk
·
Sep 28, 2022",">finalmente um técnico 
>como é bom competir
>professor pardal
>vamos ganhar algo
>time mal treinador kk
>renova por favor 
>10 dias de treino",,,6,42,[],https://twitter.com/cortinaskk/status/1575253224529006616
CrossFit BC,@CrossFitBC,2022-09-28T22:23:39.000Z,"CrossFit BC
@CrossFitBC
·
Sep 28, 2022",Just posted a photo @ CrossFit BC,,,,,[],https://twitter.com/CrossFitBC/status/1575249910286503936
Kali Uchis no Sindicato dos Metalúrgicos,@supermegacogo,2022-09-28T23:45:49.000Z,"Kali Uchis no Sindicato dos Metalúrgicos
@supermegacogo
·
Sep 28, 2022",Tomei o pré treino que deram na academia achei tudo de bom me deu uma vontade de gorfa ao longo do treino todo ,🤩,3,,6,[],https://twitter.com/supermegacogo/status/1575270586112253955
Ronaldo Júnior,@10Junioor,2022-09-28T23:43:22.000Z,"Ronaldo Júnior
@10Junioor
·
Sep 28, 2022",Mais duas semanas de treino melhora?,,50,8,350,[],https://twitter.com/10Junioor/status/1575269971512512512
KLEBSON SANTANA,@kebinho75,2022-09-28T23:49:45.000Z,"KLEBSON SANTANA
@kebinho75
·
Sep 28, 2022","Já estava achando um jogo horroroso do 
@Flamengo
 time sem vontade, liderado pelo jogo/treino do 
@DavidLuiz_4
. Aí entra o Ribas, fim !",,,1,7,[],https://twitter.com/kebinho75/status/1575271575170871296
Tate,@rlev97,2022-09-28T22:27:50.000Z,"Tate
@rlev97
·
Sep 28, 2022",Do any of you know someone who lives near me who wants to date me and won't change their mind whey meeting me,🐀,,,,[],https://twitter.com/rlev97/status/1575250961316122643
del,@delfin4__,2022-09-28T23:04:28.000Z,"del
@delfin4__
·
Sep 28, 2022",pov: t quedas 5 segundos parada al lado d los q toman proteína en el gimnasio,,,,3,['https://pbs.twimg.com/profile_images/1572339594879803400/0yfhA9Hi_mini.jpg'],https://twitter.com/delfin4__/status/1575260180874395649
Victor Lessa,@Victorg_Lessa,2022-09-28T23:15:49.000Z,"Victor Lessa
@Victorg_Lessa
·
Sep 28, 2022","Em ritmo de treino, Fluminense faz o terceiro. Martinelli, que faz bom jogo, dá belo passe e Arias finaliza de maneira perfeita. Faz tudo parecer fácil! #canaldolessa",,7,14,340,[],https://twitter.com/Victorg_Lessa/status/1575263034649575425
pithan,@ronaldopithan,2022-09-28T23:17:52.000Z,"pithan
@ronaldopithan
·
Sep 28, 2022","o intervalo das séries do treino: 1 minuto 

corta pra mim a mais de 5 minutos olhando pra parede tentando entender de onde vai vir a energia pra fazer as últimas duas séries",,,1,9,[],https://twitter.com/ronaldopithan/status/1575263552037953536
