,site,corr_value
0,final_df_fitnessandpower,0.79
1,final_df_gsup,0.73
2,final_df_healthline,0.34
3,final_df_maxtitanium,0.66
4,final_df_myproteinblog,0.84
5,final_df_nutritotal,0.04
6,final_df_nutrufy,0.89
7,final_df_proteinlicious,0.61
8,final_df_sanavita,0.57
9,final_df_suplementacao,-1.0
10,final_df_tnation,-0.33
11,final_df_tuasaude,0.95
